x,y,name,author,url,percentages,imageURL,textMetaphor,typeOfMetaphor,type,primarydomain,secondarydomain,
15, 10, 'Climate change is affecting our local communities', King Country Region, https://kingcounty.gov/en/legacy/services/environment/climate/our-changing-climate/infographics, 0|33.33|33.33|33.33, images/copyright_img.png, no, N/A, Structural|Ontological|Orientational|Imagistic, Climate, -
12, 20, 'What is Climate Change?', Ingenium, https://energy.techno-science.ca/en/resources/climate-change-lesson-plans.php, 0|57.14|42.86|0, https://energy.techno-science.ca/doc/content/climate%20change.PNG, yes, 'orientational', Structural|Ontological|Orientational|Imagistic, Climate, - 
10, 25, 'CO2 Emissions vs. Vulnerability to Climate Change by Nation', Milken Institute School of Public Health, https://onlinepublichealth.gwu.edu/resources/climate-change-emissions-data/, 0|25|75|0, https://onlinepublichealth.gwu.edu/wp-content/uploads/sites/47/2021/03/Climate_Change_carbon_v_vulnerability.jpeg?resize=2048, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, -
10, 19, 'State of the UK Climate in 2020', Royal Meteorological Society, https://www.rmets.org/news/climate-change-continues-be-evident-across-uk, 0|50|50|0, https://www.rmets.org/sites/default/files/inline-images/20210727_State_of_the_UK_Climate_2020_-_FINALISED_infographic.jpg, yes, 'orientational', Structural|Ontological|Orientational|Imagistic, Climate, -
10, 20, 'State of UK Climate 2022', Royal Meteorological Society, https://www.metoffice.gov.uk/research/climate/maps-and-data/about/state-of-climate#:~:text=2022%20was%20a%20year%20of, 0|40|60|0, https://www.metoffice.gov.uk/binaries/content/gallery/metofficegovuk/images/weather/learn-about/climate/embargoed_sotukc2022_main_infographic_final.png, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, - 
25, 20, 'Keeping It Cool', World Wide Fund for Nature, https://www.wwf.org.uk/reports/UK-contribution-climate-change, 0|50|50|0, images/copyright_img.png, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, - 
15, 20, 'Climate Change is the Greatest Threat to Health', Heal and Environment Alliance, https://www.env-health.org/category/publications/infographics/climate-and-energy-infographics/, 0|60|40|0, images/ClimateChangeIsThreat.png, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, Biomedicine
20, 15, 'Western Wildfires and Climate Change', Union of Concerned Scientists, https://www.ucsusa.org/resources/western-wildfires-and-climate-change, 0|50|50|0, https://www.ucsusa.org/sites/default/files/styles/original/public/legacy/assets/images/gw/infographic-western-wildfires-and-climate-change/Infographic-Western-Wildfires-and-Climate-Change-All-Facts-Full-Size.jpg?itok=1o0wwNbZ, yes, 'orientational', Structural|Ontological|Orientational|Imagistic, Climate, -  
30, 30, 'A glacier's life-cycle', Iberdrola, https://www.iberdrola.com/sustainability/melting-glaciers-causes-effects-solutions, 0|0|100|0, images/copyright_img.png, no, N/A, Structural|Ontological|Orientational|Imagistic, Climate, - 
40, 10, 'How Climate Change Spurred the Rise and Fall of Ancient Civilizations', Amy Caracappa-Qubeck (Woods Hole Oceanographic Institution), https://www.whoi.edu/multimedia/climate-change-and-ancient-civilizations/, 0|25|75|0, https://www.whoi.edu/wp-content/uploads/2018/11/graph_243615_411013.jpg, yes, 'orientational', Structural|Ontological|Orientational|Imagistic, Climate, Anthropology
15, 15, 'Blinded by the lights: how light polluntion affects our environment', Pineapples and Whales, https://www.darkskydefenders.org/light-pollution-effects.html, 0|0|100|0, images/copyright_img.png, no, N/A,  Structural|Ontological|Orientational|Imagistic, Climate, Biomedicine
10, 30, 'Climate Change: A Triple Threat for the Ocean', Monterey Bay Aquarium/MBARI, https://www.montereybayaquarium.org/stories/climate-change-a-triple-threat-for-the-ocean, 0|100|0|0, images/copyright_img.png, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, -
30, 20, 'From Icefield to Ocean', Alaska Science Center, https://www.usgs.gov/media/images/icefield-ocean-poster, 0|50|25|25, https://d9-wret.s3.us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/full_width/public/thumbnails/image/glacier_system.jpg?itok=VrFxYFBn, yes, 'ontological', Structural|Ontological|Orientational|Imagistic, Climate, -
20, 10, 'Coastal wetlands: nature-based solutions to extreme weather', Wetland Based Solutions, https://www.wetlandbasedsolutions.org/2021/06/18/infographics-on-the-role-of-wetlands-to-fight-climate-change-and-biodiversity-crises/, 0|50|50|0, images/copyright_img.png, no, N/A, Structural|Ontological|Orientational|Imagistic, Climate, -
